Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0028472,-0.012903,-0.033655,0,0,0,0.22649,0.00033741,-1.2875E-19,-5.9541E-05,0.00046118,-2.5784E-19,0.00028889,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,,电机罩1-1;底板-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,0.027875,4.4502E-07,4.2904E-07,0,0,0,0.052202,0.00011158,3.2787E-10,-9.9473E-11,9.0737E-05,3.4435E-05,8.9798E-05,0,0,0,0,0,0,package://URDF/meshes/Empty_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://URDF/meshes/Empty_Link1.STL,,关节1-1,坐标系8,基准轴1,j1,revolute,-0.0044519,0.035576,0.056215,1.5708,-1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Empty_Link2,0.049821,-0.0016652,0.089461,0,0,0,0.13587,0.0010278,-2.9184E-07,7.4419E-07,0.0010376,1.6034E-05,0.00015077,0,0,0,0,0,0,package://URDF/meshes/Empty_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://URDF/meshes/Empty_Link2.STL,,装配体1^机械臂装配体-1/关节1.1-1,坐标系9,基准轴2,j2,revolute,0.045635,-0.029846,0.030256,3.1416,0.79222,1.5708,Empty_Link1,1,0,0,0,0,0,0,,,,,,,,
Empty_Link3,0.050129,0.13127,0.058716,0,0,0,0.2167,0.00064012,6.9419E-07,2.9775E-08,0.00040214,-0.000141,0.00063948,0,0,0,0,0,0,package://URDF/meshes/Empty_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://URDF/meshes/Empty_Link3.STL,,装配体1^机械臂装配体-1/关节2-1;装配体1^机械臂装配体-1/电机罩2-1,坐标系10,基准轴3,j3,revolute,-0.007,-0.0037552,0.17996,0,0,0,Empty_Link2,1,0,0,0,0,0,0,,,,,,,,
Empty_Link4,0.042129,0.00021026,0.012017,0,0,0,0.054059,6.7245E-05,-2.0301E-07,-1.1731E-05,9.1965E-05,-2.5118E-07,0.00010244,0,0,0,0,0,0,package://URDF/meshes/Empty_Link4.STL,1,1,1,1,0,0,0,0,0,0,package://URDF/meshes/Empty_Link4.STL,,关节3-1,坐标系11,基准轴4,j4,revolute,0.05,0.26477,0.078291,-1.5708,-0.039487,1.5708,Empty_Link3,1,0,0,0,0,0,0,,,,,,,,
Empty_Link5,0.034857,0.015355,0.057414,0,0,0,0.069965,0.00017859,-1.0817E-05,-4.0435E-05,0.00018392,-2.1807E-05,0.00010933,0,0,0,0,0,0,package://URDF/meshes/Empty_Link5.STL,1,1,1,1,0,0,0,0,0,0,package://URDF/meshes/Empty_Link5.STL,,关节3.2-1,坐标系12,基准轴5,j5,revolute,0.06,2.165E-05,-0.041,0.039487,-1.5703,-1.5708,Empty_Link4,1,-4.8552E-05,0,0,0,0,0,,,,,,,,
